run_id,threshold,tp,tn,fp,fn,precision,recall,f1
20260324_132052,60.0,5,2,0,10,1.0000,0.3333,0.5000
20260324_132250,full,60.0,5,2,0,10,1.0000,0.3333,0.5000
20260324_132250,random,60.0,4,2,0,11,1.0000,0.2667,0.4211
20260324_132250,naive,60.0,0,2,0,15,0.0000,0.0000,0.0000
20260324_132418,full,60.0,5,2,0,10,1.0000,0.3333,0.5000
20260324_132418,random,60.0,4,2,0,11,1.0000,0.2667,0.4211
20260324_132418,naive,60.0,0,2,0,15,0.0000,0.0000,0.0000
run_full_390_20260325,full,60.0,9,14,0,36,1.0000,0.2000,0.3333
run_random_390_20260325,random,60.0,15,8,6,30,0.7143,0.3333,0.4545
run_naive_390_20260325,naive,60.0,0,14,0,45,0.0000,0.0000,0.0000
auto_full_390_20260325_132414,full,60.0,9,14,0,36,1.0000,0.2000,0.3333
auto_random_390_20260325_132414,random,60.0,15,8,6,30,0.7143,0.3333,0.4545
auto_naive_390_20260325_132414,naive,60.0,0,14,0,45,0.0000,0.0000,0.0000
auto_full_500_20260325_191827,full,60.0,9,21,0,45,1.0000,0.1667,0.2857
auto_random_500_20260325_191827,random,60.0,21,13,8,33,0.7241,0.3889,0.5060
auto_naive_500_20260325_191827,naive,60.0,0,21,0,54,0.0000,0.0000,0.0000
my_run,full,60.0,9,21,0,45,1.0000,0.1667,0.2857
auto_full_500_20260331_120841,full,60.0,9,21,0,45,1.0000,0.1667,0.2857
auto_random_500_20260331_120841,random,60.0,21,13,8,33,0.7241,0.3889,0.5060
auto_naive_500_20260331_120841,naive,60.0,0,21,0,54,0.0000,0.0000,0.0000
